Nome,Código,Descrição,Ator,Categoria,Ciclo,Origem,Prioridade,Situação,Tipo
RF01 | Cadastro de conta por tipo de perfil,RF01,"O sistema deve possibilitar que novos usuários se cadastrem escolhendo entre os perfis de Aluno, Professor ou Academia, com os campos obrigatórios variando conforme o perfil escolhido.","Academia, Aluno, Professor",Núcleo: Contas,Ciclo 1,Modelo de atores definido,Essencial (Must),Confirmado no escopo,Funcional
RF02 | Autenticação e recuperação de senha,RF02,"O sistema deve possibilitar login, encerramento de sessão e recuperação de senha por e-mail, com a autenticação delegada ao serviço do Firebase.","Academia, Aluno, Professor",Núcleo: Contas,Ciclo 1,Escopo base do pré-projeto,Essencial (Must),Confirmado no escopo,Funcional
RF03 | Diferenciação de perfis e permissões,RF03,"O sistema deve distinguir os três perfis, liberando para cada um apenas as funcionalidades correspondentes. O perfil Academia acumula as permissões de gestão sobre seus professores, turmas e alunos.","Academia, Aluno, Professor",Núcleo: Contas,Ciclo 1,Modelo de atores definido,Essencial (Must),Confirmado no escopo,Funcional
RF04 | Perfil da academia,RF04,"O sistema deve possibilitar que a academia mantenha seu perfil institucional, com nome, endereço, modalidades oferecidas e identidade visual básica.",Academia,Núcleo: Contas,Ciclo 1,Modelo de atores definido,Essencial (Must),Confirmado no escopo,Funcional
RF05 | Perfil do professor,RF05,"O sistema deve possibilitar que o professor mantenha seu perfil, com nome, modalidades que leciona, graduação e indicação de atuação autônoma ou vinculada a academia.",Professor,Núcleo: Contas,Ciclo 1,Modelo de atores definido,Essencial (Must),Confirmado no escopo,Funcional
RF06 | Perfil do praticante,RF06,"O sistema deve possibilitar que o aluno visualize e edite seu perfil, contendo nome, modalidade praticada, faixa ou grau atual e foto.",Aluno,Núcleo: Contas,Ciclo 1,Roteiro do TCC (Ciclo 1),Essencial (Must),Confirmado no escopo,Funcional
RF07 | Vínculo entre professor e academia,RF07,"O sistema deve possibilitar que um professor seja vinculado a uma academia mediante solicitação e aceite. O vínculo é opcional, e o professor sem vínculo atua de forma autônoma com suas próprias turmas.","Academia, Professor",Núcleo: Vínculos,Ciclo 1,Modelo de atores definido,Essencial (Must),Confirmado no escopo,Funcional
RF08 | Vínculo do aluno a academia ou professor,RF08,"O sistema deve possibilitar que o aluno se vincule a uma academia ou a um professor autônomo. O vínculo define o escopo de turmas, missões, classificação e relatórios aplicáveis àquele aluno.","Academia, Aluno, Professor",Núcleo: Vínculos,Ciclo 1,Modelo de atores definido,Essencial (Must),Confirmado no escopo,Funcional
RF10 | Criação e gestão de turmas,RF10,"O sistema deve possibilitar que professores e academias criem e mantenham turmas, definindo nome, modalidade, nível e professor responsável.","Academia, Professor",Núcleo: Treinos,Ciclo 1,Modelo de atores definido,Essencial (Must),Confirmado no escopo,Funcional
RF11 | Matrícula do aluno em turma,RF11,O sistema deve possibilitar a matrícula de um aluno em uma ou mais turmas às quais ele tenha acesso por meio de seu vínculo ativo.,"Academia, Aluno, Professor",Núcleo: Treinos,Ciclo 1,Modelo de atores definido,Essencial (Must),Confirmado no escopo,Funcional
RF12 | Criação de sessões de treino,RF12,"O sistema deve possibilitar que professores e academias criem sessões de treino associadas a uma turma, com data, horário de início e término e professor responsável. Sessões recorrentes devem poder ser geradas a partir de uma grade semanal.","Academia, Professor",Núcleo: Treinos,Ciclo 1,Modelo de atores definido,Essencial (Must),Confirmado no escopo,Funcional
RF13 | Check-in do aluno na sessão,RF13,"O sistema deve possibilitar que o aluno realize check-in em uma sessão de treino de turma na qual esteja matriculado. Este é o evento central do aplicativo, do qual derivam pontuação, missões, sequência e relatórios.",Aluno,Núcleo: Treinos,Ciclo 1,Objetivo específico do pré-projeto,Essencial (Must),Confirmado no escopo,Funcional
RF14 | Consulta da agenda de treinos,RF14,"O sistema deve exibir ao aluno as próximas sessões de treino das turmas em que está matriculado, com data, horário e professor responsável.",Aluno,Núcleo: Treinos,Ciclo 1,Modelo de atores definido,Essencial (Must),Confirmado no escopo,Funcional
RF15 | Histórico de presenças,RF15,"O sistema deve exibir ao aluno o histórico de check-ins validados, permitindo a visualização da própria constância ao longo do tempo.",Aluno,Núcleo: Treinos,Ciclo 1,Roteiro do TCC (Ciclo 1),Essencial (Must),Confirmado no escopo,Funcional
RN02 | Check-in único por sessão,RN02,"É permitido no máximo um check-in por aluno por sessão de treino, impedindo acúmulo artificial de pontos.",Aluno,Núcleo: Treinos,Ciclo 1,Decisão de projeto,Essencial (Must),Confirmado no escopo,Regra de Negócio
